Official Symbol Interactor A	Official Symbol Interactor B
Map3k7	Traf6
Map3k7	Ikbkg
Birc3	Myd88
Nr3c1	Hsp90ab1
Myog	Ubc
Kcnq3	Anxa6
Kcnq2	Anxa6
Pcyt1a	Kpna2
Nfe2l2	Ubc
Gpbp1	Tbp
Gpbp1	Gtf2b
Gpbp1	Polr2a
Gpbp1	Crebbp
Sf1	Pitx1
Sf1	Egr1
Rnf2	Phc2
Rnf2	Pcgf2
Rnf2	Rybp
Nfe2l2	Cdkn1a
Cdkn1a	Nfe2l2
Nfe2l2	Keap1
Trp53	Ubc
Pax3	Trp53
Pax3	Mdm2
Mdm2	Trp53
Mdm2	Pax3
Trp53	Mdm2
Trp53	Pax3
Ido1	Socs3
Nfe2l2	Ubc
Daxx	Dmap1
Egfr	Cbl
Grb2	Cbl
Grb2	Egfr
Egfr	Cbl
Cbl	Egfr
Egfr	Ubc
Pea15b	Mapk3
Pea15b	Mapk1
Pea15a	Mapk3
Pea15a	Mapk1
Apc	Otud7b
Mdm2	Usp7
Mdm2	Daxx
Pdgfrb	Ubc
Mdm2	Senp2
Senp2	Mdm2
Mdm2	Sumo1
Casp8	Sqstm1
Sirt1	Ppargc1a
Ankrd37	Fem1b
Ubc	Mdm2
Ubc	Trp53
Mdm4	Mdm2
Mdm4	Trp53
Nr0b2	Traf6
Traf6	Ubc
Fos	Jun
Jun	Fos
Casp8	Sqstm1
Tax1bp1	Chuk
Ripk1	Ubc
Traf6	Ubc
Traf6	Tax1bp1
Traf6	Itch
Traf6	Rnf11
Traf6	Ube2n
Traf6	Ube2d3
Traf6	Tnfaip3
Traf2	Itch
Traf2	Tnfaip3
Traf2	Tax1bp1
Traf2	Ube2n
Rnf11	Tnfaip3
Rnf11	Traf6
Ripk1	Tnfaip3
Tnfaip3	Ripk1
Tnfaip3	Tax1bp1
Smad3	Ubc
Mesdc2	Lrp6
Lrp6	Mesdc2
Ube4b	Vcp
Dnajc7	Ube4a
Stub1	Dyx1c1
Ubox5	Vcp
