Official Symbol Interactor A	Official Symbol Interactor B
Ube4b	Ube4b
Aes	Tle1
Map2k1	Myod1
Cdk2	Hist1h1c
Ppp3ca	Gabrg2
Fbxo32	Nfkbia
Cdk1	Hist1h1c
Hsp90ab1	Nr3c1
Ifi204	Runx2
Ccnd1	Cdk4
Ccnd1	Cdk4
Ccnd1	Hspa8
Ccnd1	Cdkn1a
Ccr2	Ccl2
Gmnn	Cdt1
Cdk2	Hist1h1c
Rbm3	Rpl4
Chuk	Nfkbib
Ikbkg	Nfkbib
Ikbkb	Nfkbib
Fmn1	Prpf40a
Fmn1	Tcerg1
Scnn1a	Nedd4
Scnn1b	Nedd4
Scnn1g	Nedd4
Scn2a1	Nedd4l
Scn9a	Nedd4l
Scnn1a	Nedd4l
Scnn1b	Nedd4l
Scnn1g	Nedd4l
Nedd4l	Scn2a1
Nedd4l	Scn9a
Nedd4l	Scn2a1
Nedd4l	Scn9a
Prmt1	Axin1
Ngly1	Vcp
Ngly1	Vcp
Hsp90ab1	Itgb1bp2
Csnk2b	Tcte3
Hnf1b	Crebbp
Hnf1b	Kat2b
Hnf1b	Hdac1
Cxadr	Lnx2
Crocc	Klc1
Crocc	Klc2
Crocc	Klc3
Mapk1	Atf2
Rps6ka5	Atf2
Mapk14	Atf2
Psen1	Ncstn
Ncstn	Psen1
Cdk1	Hist1h1c
Fbxl12	Camk1
Fbxl19	Rhoa
Rbx1	Ube2g2
Dok1	Inpp5d
Inpp5d	Dok1
Inpp5d	Abl1
Crkl	Inpp5d
Crkl	Cbl
Inpp5d	Crkl
Spi1	Jun
Nos1	Dmd
Dmd	Nos1
Pctp	Acot13
Pctp	Pax3
Ikbkg	Nfkbia
Khdrbs1	Rasa1
Tec	Dok1
Tec	Dok1
Abhd5	Pnpla2
Abhd5	Plin1
Rab11fip2	Myo5b
Ptgs1	Nucb1
Ptgs2	Nucb1
Abhd5	Plin1
Abhd5	Pnpla2
Pnpla2	Plin5
Mllt3	Rnf2
Arhgap1	Rac1
Arhgap22	Rac1
Arhgap1	Rac1
Arhgap22	Rac1
Vezf1	Arhgap22
Agtr1a	Agtrap
Ptpn11	Itsn1
Cdk4	Hsp90aa1
Cebpa	Cdk4
Hsp90aa1	Cdk4
Hck	Cbl
Pdx1	Pcif1
Rnf20	Tfap2a
Trim63	Kcnmb1
Wwp2	Smarcc1
Wwp2	Smarcc1
Rnf168	Trp53bp1
Rnf31	Cyld
Rnf31	Otulin
Faf1	Vcp
Faf1	Vcp
Keap1	Nfe2l2
Keap1	Nfe2l2
Keap1	Nfe2l2
Igsf5	Lnx1
Igsf5	Numb
Igsf5	Lnx1
Igsf5	Numb
Htt	Htt
Hdac11	Bub1b
Bcl2	Cpt1a
Rnf25	Ube2d2a
Fbxo43	Cdc20
Cdc20	Fbxo43
Ikbkg	Rhbdd3
Rhbdd3	Ikbkg
Ikbkg	Tnfaip3
Tnfaip3	Ikbkg
Uhrf1	Dnmt1
H3f3a	Uhrf1
H3f3a	Uhrf1
Trim3	Cdkn1a
Ets1	Prdm1
Jak1	Socs1
Per2	Cry2
Socs3	Jak2
Socs3	Jak2
Jak2	Jak2
Yy1	Mtor
Yy1	Ppargc1a
Ccdc88a	Akt1
Sirt1	Per2
Akt1	Gsk3a
Akt1	Gsk3b
Pum2	Nanos3
Pum2	Nanos3
Nfe2l2	Mapk7
Mapk7	Nfe2l2
Arrb2	Ppp2r2b
Fbxo43	Anapc2
Stub1	Stub1
Ncor1	Dzip3
Pcdha1	Pcdhgb1
Pcdha1	Pcdhgb1
Rad23b	Xpc
Atf2	Pou2f1
Atf2	Brca1
Pou2f1	Brca1
Gadd45a	Apex1
Gadd45a	Pcna
Dffb	Dffa
Atg5	Atg16l1
Lnpep	Uso1
Lnpep	Uso1
Sod1	Pdia2
Scmh1	Gmnn
Als2	Grip1
Ddrgk1	Ascc1
Pias2	Pparg
Sox2	Pou5f1
Sox15	Pou5f1
Sox2	Tlx1
Tlx1	Sox2
Dlg4	Bai1
Dlg4	Lrp1
Dlg4	Grin2b
Dlg4	Grin2a
Dlg4	Grin1
E4f1	Anp32a
Spi1	Crebbp
Traf6	Traf6
Itch	Notch1
Itch	Notch1
Wwp2	Polr2a
Polr2a	Wwp2
Wwp2	Smarcc1
Wwp2	Polr2a
Chfr	Aurka
Fbxl20	Rims1
Mapk3	Nanog
Mapk1	Nanog
Siva1	Tnfrsf18
Sh3kbp1	Dlg4
Akt1	Gsk3a
Akt1	Gsk3b
Usp8	Ubc
Cblb	Smad7
Cish	Abl1
Stub1	Stub1
Rad23b	Ngly1
Trim63	Mybpc2
Trim63	Mylpf
Trim63	Myl1
Trim63	Myh1
Trim63	Acta1
Mapk8	Jun
Uchl1	Ubc
Tnfaip3	Ripk1
Tnfaip3	Tnfaip3
Gch1	Ubc
Trim17	Mcl1
Flt3	Socs6
Src	Dvl2
Cdk2	Hist1h1a
Ccna1	Cdk2
Ccne1	Cdk2
Ccnb1	Cdk1
Ccna1	Cdk2
Ccna1	Cdk2
Ccne1	Cdk2
Ccnb1	Cdk1
Ccne1	Cdk2
Ccna2	Cdk2
Cdh1	Ctnnd1
Mapk8	Jun
Mapk1	Elk1
Cbx1	Trim28
Cbx3	Trim28
Cbx5	Trim28
Cbx1	Trim24
Cbx3	Trim24
Cbx5	Trim24
Map2k1	Mapk1
Ubc	Rev1
Sqstm1	Ubc
Ubc	Sqstm1
Wwp2	Gsc
Ubc	Poli
Nfatc2ip	Ube2i
Ccne1	Cdk2
Calm1	Ccne1
Ccnd1	Cdk4
Ccna2	Cdk2
Ptpn6	Dok1
Cdk1	Hist1h1a
Ccne1	Cdk2
Ccna2	Cdk1
Cdk2	Hist1h1a
Traf6	Ube2n
Pxn	Mapk1
Rbx1	Ube2g2
Btrc	Pkd2
Ubc	Vcp
Ubc	Psmd4
Mdm2	Trp53
Ube2i	Rangap1
Ube2i	Rangap1
Parp2	Parp2
Atxn3	Ubc
Crebbp	Kat2b
Ep300	Kat2b
Atxn3	Ubc
Htra2	Birc3
Htra2	Csn2
Map2k1	Mapk1
Raf1	Map2k1
Vhl	Hif1a
Vhl	Sumo1
Sumo1	Vhl
Tnk2	Ubc
Tet1	Nanog
Sall4	Sox2
Cbx5	Hdac9
Hdac9	Cbx5
Ep300	Creb1
Creb1	Ep300
Creb1	Crebbp
Creb1	Crebbp
Creb1	Ep300
Eif4e	Eif4ebp2
Eif4e	Eif4ebp2
Ahnak	Anxa2
Hltf	Anxa2
Ahnak	S100a10
Hltf	S100a10
Hltf	S100a10
Hltf	Anxa2
Ahnak	S100a10
Ahnak	Anxa2
Uhrf1	Top2a
Itgb1	Fermt2
Itgb1	Traf6
Park2	Becn1
Fh1	Xpo1
Lef1	Tdg
Lef1	Ctnnb1
Sh3gl2	Dnm1
Sh3gl2	Synj1
Id3	Tcf3
Id3	Tcf12
Id3	Myod1
Id3	Id4
Cdk1	Hist1h1a
Ccnb1	Cdk1
Tfdp2	Gmcl1
Gmcl1	Gmcl1
Nr5a1	Sox9
Carm1	Ncoa2
Jak2	Ubash3b
Kcnj10	Il16
Kcnj15	Il16
Cacna1c	Il16
Hdac6	Kat5
Cask	Lin7c
Lin7c	Cask
Ptpn6	Lilrb4
Raf1	Hras
Tmem194	Ran
Amot	Inadl
Plekhg5	Mpdz
Plekhg5	Mpp5
Plekhg5	Gipc1
Atrx	Xist
Atrx	Ezh2
Dnd1	Apobec3
Prkaa1	Rc3h1
Cebpb	Mdm2
Trp53	Brinp1
Trp53	Mdm2
Trim30a	Tmem173
Cblb	Cblb
Cdk5	Stub1
Stub1	Cdk5
Stub1	Stub1
Evl	Trim9
Mysm1	Ubc
