Source	Target
CEPDL 	 RMGL          
CEPDL 	 URBL          
CEPDL 	 RIPL          
CEPDL 	 AVER          
CEPDL 	 RMDVL         
CEPDL 	 RMHL          
CEPDL 	 RMHR          
CEPDL 	 URADL         
CEPDL 	 SIADR         
CEPDL 	 SIBDL         
CEPDL 	 SIBVR         
CEPDL 	 SMBDR         
CEPDL 	 dBWML5        
CEPDR 	 IL1DR         
CEPDR 	 IL1R          
CEPDR 	 OLQDR         
CEPDR 	 OLLR          
CEPDR 	 CEPDR         
CEPDR 	 BDUR          
CEPDR 	 URXR          
CEPDR 	 URYDR         
CEPDR 	 RICL          
CEPDR 	 RICR          
CEPDR 	 RIFR          
CEPDR 	 RIH           
CEPDR 	 RMGR          
CEPDR 	 URBR          
CEPDR 	 AVEL          
CEPDR 	 RMDR          
CEPDR 	 RMDVR         
CEPDR 	 RMHL          
CEPDR 	 RMHR          
CEPDR 	 URADR         
CEPDR 	 SIBDR         
CEPDR 	 SMBDL         
CEPDR 	 dBWMR3        
CEPDR 	 dBWMR5        
CEPVL 	 IL1VL         
CEPVL 	 OLQVL         
CEPVL 	 OLLL          
CEPVL 	 URXL          
CEPVL 	 URYVL         
CEPVL 	 RIAL          
CEPVL 	 RIBL          
CEPVL 	 RICL          
CEPVL 	 RICR          
CEPVL 	 RMGL          
CEPVL 	 RIPL          
CEPVL 	 PVR           
CEPVL 	 AVER          
CEPVL 	 RMDDL         
CEPVL 	 RMDVR         
CEPVL 	 RMHL          
CEPVL 	 RMHR          
CEPVL 	 URAVL         
CEPVL 	 SIAVL         
CEPVL 	 SMBVL         
CEPVL 	 SMDVR         
CEPVL 	 vBWML5        
CEPVL 	 vBWML7        
CEPVR 	 ADLR          
CEPVR 	 ASGR          
CEPVR 	 IL1VR         
CEPVR 	 IL2VR         
CEPVR 	 OLQVR         
CEPVR 	 OLLR          
CEPVR 	 CEPDR         
CEPVR 	 URYVR         
CEPVR 	 RIAL          
CEPVR 	 RIAR          
CEPVR 	 RICL          
CEPVR 	 RICR          
CEPVR 	 RIPR          
CEPVR 	 AVEL          
CEPVR 	 RMDDR         
CEPVR 	 RMHR          
CEPVR 	 RIVL          
CEPVR 	 URAVR         
CEPVR 	 SIAVR         
CEPVR 	 SMBVR         
CEPVR 	 SMDDR         
CEPVR 	 vBWMR3        
CEPVR 	 vBWMR5        
CEPVR 	 vBWMR8        
ALML 	 CEPDL         
ALML 	 CEPVL         
ALML 	 ALML          
ALML 	 BDUL          
ALML 	 SDQL          
ALML 	 AIML          
ALML 	 RICL          
ALML 	 RICR          
ALML 	 RIFL          
ALML 	 RMGL          
ALML 	 PVCL          
ALML 	 PVCR          
ALML 	 AVDR          
ALML 	 AVEL          
ALML 	 RMDDR         
ALML 	 SMBDR         
ALMR 	 CEPDR         
ALMR 	 CEPVR         
ALMR 	 BDUR          
ALMR 	 URBR          
ALMR 	 PVCR          
ALMR 	 RMDDL         
ALMR 	 SIADL         
ALMR 	 SMDDL         
AVM 	 BDUL          
AVM 	 BDUR          
AVM 	 ADER          
AVM 	 AVHL          
AVM 	 AVJR          
AVM 	 AVKL          
AVM 	 PVNL          
AVM 	 PVNR          
AVM 	 PVR           
AVM 	 RID           
AVM 	 PVCL          
AVM 	 PVCR          
AVM 	 AVBL          
AVM 	 AVBR          
AVM 	 AVDL          
AVM 	 AVDR          
AVM 	 SIBVL         
AVM 	 DA01          
AVM 	 VA02          
AVM 	 VB03          
PVM 	 AVM           
PVM 	 AVKL          
PVM 	 DVA           
PVM 	 PVR           
PVM 	 PVCL          
PVM 	 PVCR          
PVM 	 vBWMR10       
ALNL 	 RIAL          
ALNL 	 RMGL          
ALNL 	 RMDDR         
ALNL 	 RMHL          
ALNL 	 SAAVL         
ALNL 	 SIADR         
ALNL 	 SMBDR         
ALNL 	 SMDVL         
ALNR 	 IL2DR         
ALNR 	 ADER          
ALNR 	 AVAL          
ALNR 	 RIML          
ALNR 	 SAAVR         
ALNR 	 SMBDL         
ALNR 	 SMDDR         
ALNR 	 SMDVL         
PLNL 	 RMDVL         
PLNL 	 SAADR         
PLNL 	 SAAVL         
PLNL 	 SIAVL         
PLNL 	 SMBVL         
PLNL 	 SMBVR         
PLNL 	 SMDVR         
PLNR 	 SAADL         
PLNR 	 SIAVR         
PLNR 	 SMBVL         
PLNR 	 SMBVR         
PLNR 	 SMDVL         
FLPL 	 FLPR          
FLPL 	 ADEL          
FLPL 	 ADER          
FLPL 	 AIBL          
FLPL 	 AIBR          
FLPL 	 RIS           
FLPL 	 DVA           
FLPL 	 PVCR          
FLPL 	 AVAL          
FLPL 	 AVAR          
FLPL 	 AVBL          
FLPL 	 AVBR          
FLPL 	 AVDL          
FLPL 	 AVDR          
FLPL 	 DD01          
FLPL 	 VA01          
FLPR 	 FLPL          
FLPR 	 ADER          
FLPR 	 ADAL          
FLPR 	 ADAR          
FLPR 	 AVJL          
FLPR 	 AVJR          
FLPR 	 DVA           
FLPR 	 PVCL          
FLPR 	 AVAL          
FLPR 	 AVAR          
FLPR 	 AVBL          
FLPR 	 AVBR          
FLPR 	 AVDL          
FLPR 	 AVDR          
FLPR 	 AVEL          
FLPR 	 AVER          
FLPR 	 VB01          
BDUL 	 ALML          
BDUL 	 ADEL          
BDUL 	 ADAL          
BDUL 	 RIFL          
BDUL 	 RMGL          
BDUL 	 AVHL          
BDUL 	 AVJR          
BDUL 	 PVNL          
BDUL 	 PVNR          
BDUL 	 URADL         
BDUL 	 SAADL         
BDUL 	 dBWML5        
BDUL 	 HSNL          
BDUR 	 CEPVR         
BDUR 	 ALMR          
BDUR 	 SDQL          
BDUR 	 ADER          
BDUR 	 AVHL          
BDUR 	 AVJL          
BDUR 	 PVNL          
BDUR 	 PVNR          
BDUR 	 PVCL          
BDUR 	 AVAL          
BDUR 	 AVBR          
BDUR 	 URADR         
BDUR 	 dBWMR6        
BDUR 	 HSNR          
SDQL 	 ALML          
SDQL 	 FLPL          
SDQL 	 AIBR          
SDQL 	 RICR          
SDQL 	 RMFL          
SDQL 	 RIS           
SDQL 	 RIPR          
SDQL 	 DVA           
SDQL 	 PVCL          
SDQL 	 AVAL          
SDQL 	 AVAR          
SDQL 	 AVBL          
SDQL 	 AVBR          
SDQL 	 AVDL          
SDQL 	 AVEL          
SDQL 	 SAADR         
SDQL 	 SIADR         
SDQL 	 SIBVL         
SDQL 	 SMBDR         
SDQR 	 ADLL          
SDQR 	 ALML          
SDQR 	 SDQL          
SDQR 	 AIBL          
SDQR 	 RICR          
SDQR 	 DVA           
SDQR 	 AVAL          
SDQR 	 AVBL          
SDQR 	 AVBR          
SDQR 	 RMHL          
SDQR 	 RMHR          
SDQR 	 SIADL         
SDQR 	 SIBDR         
SDQR 	 SMBVL         
SDQR 	 vBWMR7        
PVDL 	 PVDR          
PVDL 	 AVFL          
PVDL 	 AVG           
PVDL 	 PVPL          
PVDL 	 PVCL          
PVDL 	 PVCR          
PVDL 	 AVAL          
PVDL 	 AVAR          
PVDL 	 AVDL          
PVDL 	 AVDR          
PVDL 	 DD05          
PVDL 	 VD10          
PVDL 	 hyp           
PVDR 	 PVDL          
PVDR 	 DVA           
PVDR 	 PVCL          
PVDR 	 PVCR          
PVDR 	 AVAL          
PVDR 	 AVAR          
PVDR 	 AVDL          
PVDR 	 VA09          
PVDR 	 VA12          
PVDR 	 VB05          
PVDR 	 VB06          
PVDR 	 hyp           
BAGL 	 ADFR          
BAGL 	 CEPVR         
BAGL 	 BAGR          
BAGL 	 URXR          
BAGL 	 AUAR          
BAGL 	 AIBL          
BAGL 	 AIZR          
BAGL 	 AINL          
BAGL 	 RIAR          
BAGL 	 RIBR          
BAGL 	 RIGL          
BAGL 	 RIGR          
BAGL 	 RIPR          
BAGL 	 RID           
BAGL 	 AVAR          
BAGL 	 AVEL          
BAGL 	 AVER          
BAGL 	 RIVR          
BAGL 	 URAVR         
BAGR 	 OLQVL         
BAGR 	 BAGL          
BAGR 	 AQR           
BAGR 	 AIYL          
BAGR 	 RIAL          
BAGR 	 RIBL          
BAGR 	 RIBR          
BAGR 	 RIGL          
BAGR 	 AVAL          
BAGR 	 AVEL          
BAGR 	 SMDVL         
URXL 	 ADFL          
URXL 	 ASHL          
