Official Symbol Interactor A	Official Symbol Interactor B
SRPK2	U2AF2
DNAL4	DYNLL2
TBC1D5	GABARAPL2
PLOD3	RHOXF2
PACSIN2	PACSIN1
RBPMS	ZC3H10
SQSTM1	GABARAPL2
SGTA	F11R
MDFI	AKAP17A
DDIT3	HSD17B14
SEC24C	SEC23B
PIN1	TSC22D4
PAFAH1B2	PAFAH1B3
MDFI	BAHD1
ACTG1	CFL2
PDE9A	TRIM32
LASP1	TRIP13
XRCC4	IFFO1
PTPN9	RTN3
SPG21	AKIRIN2
PYROXD1	UPRT
HSD17B14	WDYHV1
CNOT2	CNOT3
EMD	FATE1
TADA3	CCDC101
MAGEA4	UQCRB
UBA2	SAE1
GNAI2	MDFI
GAD1	HAAO
ASMTL	ASMTL
RBPMS	RHOXF2
COMT	TRIP13
RUNX1T1	ABI3
TOLLIP	RHOXF2
ACCS	ACCS
TDO2	ASMTL
KHDRBS3	BAHD1
UBE2D1	TRIM39
TRAPPC3	TRAPPC6A
CPSF6	WWP1
COX17	KATNAL1
APEH	APEH
MDFI	SIX1
RBL1	BEGAIN
UGP2	ARIH2
TRIM32	UBQLN1
DAZAP2	STAM2
TRIM23	C19orf57
SATB1	UBE2I
PIN1	RAI1
TRIM17	TRIM39
PSMF1	KHDRBS3
ZNF446	ZNF496
TRAF2	ZBTB16
C1orf94	MAPK1IP1L
MDFI	MDFI
TRIP13	TEX37
PSMC4	PSMC5
SET	THAP7
CBLB	GORASP2
CIAO1	FAM96B
MDFI	C10orf62
MEF2BNB-MEF2B	TEX11
HNRNPK	HNRNPK
MAGEA11	CLUAP1
EFEMP2	SGTB
PCBD1	FXR2
TRIM37	FAM107A
KRT15	TCHP
DACH1	UBE2I
MAGEA11	ENOX2
TRIP13	TRIP13
EXOC7	IFT20
TRIM27	FBF1
TRIP13	MAD2L1BP
MDFI	CCDC116
GOLGA2	ZNF250
HSPA2	HSPBP1
GABRD	UBQLN1
RAB3IL1	RAB3IL1
KRT15	CCDC101
PACSIN2	PACSIN2
KRT15	ZC2HC1C
AP2B1	AP1M1
SDSL	SDSL
ACTG1	CFL1
SUFU	GLIS3
MDFI	ZBTB24
NECAB2	CENPO
TRAF2	ENKD1
TRAF2	SPG21
PTBP1	SNRPA
ZBED1	TRAPPC2B
EMILIN1	MTMR9
SF3B4	SS18L1
ACTG1	ACTG1
TRAF2	BANP
PSME3	ZCCHC10
LDB1	SSBP4
TSG101	LRSAM1
LMO2	STAT1
NECAB2	WDYHV1
TRIP13	CYB5R2
TRAF2	TRAF3IP2
HPCAL4	DTX2
KRT15	ANKRD36BP1
NME1	NME4
SNRPA	C19orf43
TNFAIP8	MED4
EHMT2	PRRC2B
KLHL12	SNX20
DRAP1	POLE3
SRGN	SGTA
AP2B1	MEA1
XPO6	NUP62
EIF3K	EIF3L
STX4	VAMP4
SDCBP2	TIFA
ATF4	LDOC1
ASH2L	DPY30
NIF3L1	NIF3L1
CYTH2	CCDC120
CDKN1A	TEX11
BAIAP2	NCKIPSD
IFIT1	IFIT3
SAT1	TCF25
ACTB	DSTN
AQP1	MDFI
ZFP36L1	MAPK14
CCDC85B	CHCHD3
KARS	AIMP2
SRSF6	RNPS1
MAPK9	CEP44
CCNB1IP1	CCNB1IP1
UBE2I	IKZF1
MDFI	NR1H2
RBPMS	C1orf94
FXR2	C10orf62
PPP2R5D	PPFIA1
TRAF2	AFF4
UBC	DAZAP2
KHDRBS3	CCDC33
LDOC1	DPPA4
HIF1A	SSX4
ZNF581	LZTS2
ARR3	DVL2
RABAC1	ADCK3
PRMT8	PRMT8
PHF1	RBPMS
RBPMS	RBPMS
CLK3	RSRP1
HNRNPC	RBM41
MAGEA11	SNX20
HIF1AN	ASB9
HNRNPK	MATR3
AGTRAP	AGTRAP
GAGE5	GMCL1P1
RBMX	KHDRBS2
MDFI	ZBTB25
ZNF165	CCDC130
KRT15	KANSL1
BRE	BABAM1
PIN1	ZMIZ2
UNC119	C16orf74
SH3GL1	SH3GL1
RGR	KIAA1279
ZSCAN20	SCAND1
MDFI	IQUB
CDK4	CDKN2D
RABAC1	SPG21
TRIM39	UBTD1
CDC42	CDC42EP1
01-Sep	06-Sep
TRAF2	UBXN11
SF1	DDX17
TEX11	TSC22D4
FAM107A	USHBP1
EEF1G	EEF1DP3
EHMT2	C10orf12
DDX17	WBP11
MDFI	ENKD1
KCNRG	KCNRG
USHBP1	FBF1
RCBTB2	RCBTB2
TEX11	COL20A1
UBQLN1	TMCO6
SALL2	CEP76
MBIP	NDEL1
SFN	PLK4
IFIT2	IFIT3
CTBP2	RAI2
EWSR1	YY1AP1
CALCOCO2	LSM4
U2AF2	PUF60
DARS	AIMP2
SPG21	CTPS2
RILPL2	RILPL2
DTNB	TRAF2
PAFAH1B3	LNX1
PLA2G16	UBQLN1
CCDC112	TEX9
SDCBP2	ZCCHC17
MAGEA11	PNKD
GMDS	GMDS
COPS4	USHBP1
RAP1GDS1	MBIP
EIF4E2	EIF4ENIF1
APPBP2	WDR24
VIM	KRT20
RAD23A	SQSTM1
SHFM1	PCID2
ISG15	USP18
BNIP3L	BNIP3L
KRT15	RCOR3
SNAP25	STX11
HSPB8	HSPB7
RPIA	WDYHV1
KRT15	KRT20
KRTAP4-12	KRTAP4-12
TPM1	KXD1
TXNL4A	RHEBL1
HACL1	ZMYND19
NINL	LZTS2
MDFI	ZNF559
EIF3E	GPBP1L1
TRAF2	AASDHPPT
GFAP	VIM
CPSF6	ARMC7
HIF1AN	FBF1
DACH1	NAGK
SFN	MARK3
KXD1	IFT20
THAP1	C1orf35
CALCOCO2	GABARAPL2
CKB	ASB9
DCUN1D1	TRIM39
PMM1	RAB6A
FANCG	ZBED1
ZNF165	ZNF446
PAFAH1B3	PAFAH1B3
HNRNPK	RBM42
BYSL	TRIM37
CCNK	RBPMS
TRAF2	THAP7
CCNH	PSMA1
NUDT21	CPSF7
UBB	DAZAP2
RBPMS	ZNF581
CDC23	RAD54B
MTMR9	MTMR9
MAGEA11	NDUFB9
