
WARNING from init.py: found 154 self-loops, here is one of them: ('JW3352', 'JW3352')

================================================== NH_Bacteria.txt ==================================================
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 2         swapped 1 (in) 0 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 942       dead 72        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 942       dead 72        maxd 6         mind 3         Hub deg 6         no. Leafs 1         swapped 0 (in) 1 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 942       dead 72        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 942       dead 72        maxd 5         mind 4         Hub deg 5         no. Leafs 776       swapped 5 (in) 0 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 4         swapped 2 (in) 0 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 3         swapped 1 (in) 1 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 2         swapped 1 (in) 0 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 941       dead 73        maxd 5         mind 3         Hub deg 5         no. Leafs 1         swapped 0 (in) 1 (out)
alive 941       dead 73        maxd 5         mind 4         Hub deg 5         no. Leafs 771       swapped 4 (in) 0 (out)
alive 940       dead 74        maxd 5         mind 3         Hub deg 5         no. Leafs 2         swapped 1 (in) 0 (out)
alive 940       dead 74        maxd 5         mind 4         Hub deg 5         no. Leafs 766       swapped 5 (in) 0 (out)
