miRNA	Target Gene  # filtered 'homo sapiens' from http://mirtarbase.mbc.nctu.edu.tw/cache/download/6.1/miRTarBase_WE_MP.xls
hsa-miR-372-3p	ERBB4
hsa-miR-221-3p	CDKN1B
hsa-miR-222-3p	CDKN1B
hsa-miR-19a-3p	CCND1
hsa-miR-23b-3p	RB1
hsa-miR-23b-3p	E2F1
hsa-miR-125b-5p	KLF13
hsa-miR-100-5p	MMP13
hsa-miR-100-5p	FGFR3
hsa-miR-100-5p	ID1
hsa-miR-100-5p	EGR2
hsa-miR-96-5p	CDKN1A
hsa-miR-224-5p	CD40
hsa-miR-486-5p	CD40
hsa-miR-27b-3p	ST14
hsa-miR-449a	CDK6
hsa-miR-449a	CDC25A
hsa-miR-210-3p	ATP11C
hsa-miR-210-3p	APC
hsa-miR-210-3p	CHD9
hsa-miR-210-3p	CLASP2
hsa-miR-210-3p	DDAH1
hsa-miR-210-3p	ELK3
hsa-miR-210-3p	HECTD1
hsa-miR-210-3p	MIB1
hsa-miR-210-3p	NIPBL
hsa-miR-210-3p	PTAR1
hsa-miR-210-3p	SMCHD1
hsa-miR-210-3p	TNPO1
hsa-miR-210-3p	XIST
hsa-miR-210-3p	CBX1
hsa-miR-210-3p	ABCB9
hsa-miR-210-3p	CDK10
hsa-miR-210-3p	CPEB2
hsa-miR-210-3p	DENND6A
hsa-miR-210-3p	GPD1L
hsa-miR-210-3p	HOXA3
hsa-miR-210-3p	ISCU
hsa-miR-210-3p	KIAA1161
hsa-miR-210-3p	MDGA1
hsa-miR-210-3p	MID1IP1
hsa-miR-210-3p	NCAM1
hsa-miR-210-3p	SEH1L
hsa-miR-210-3p	SERTAD2
hsa-miR-210-3p	UBQLN1
hsa-miR-210-3p	P4HB
hsa-miR-210-3p	PTPN1
hsa-miR-210-3p	BDNF
hsa-miR-299-5p	SPP1
hsa-miR-106b-5p	RB1
hsa-miR-106b-5p	RB1
hsa-miR-218-5p	MAFG
hsa-miR-218-5p	NFE2L1
hsa-miR-218-5p	VOPP1
hsa-miR-218-5p	NACC1
hsa-miR-218-5p	LASP1
hsa-miR-26a-5p	GSK3B
hsa-miR-15a-5p	CCNE1
hsa-miR-338-3p	PLA2G4B
hsa-miR-128-3p	BMI1
hsa-miR-191-5p	TMC7
hsa-miR-191-5p	IL1A
hsa-miR-107	CDCA4
hsa-miR-191-5p	SOX4
hsa-miR-191-5p	SOX4
hsa-miR-107	CCNE1
hsa-miR-107	CDK6
hsa-miR-107	CDK6
hsa-miR-107	RAB1B
hsa-miR-107	CRKL
hsa-miR-185-5p	CCNE1
hsa-miR-185-5p	CDK6
hsa-miR-185-5p	AKT1
hsa-miR-185-5p	HMGA2
hsa-miR-185-5p	CORO2B
hsa-miR-17-5p	MUC17
hsa-miR-20a-5p	MUC17
hsa-miR-20b-5p	MUC17
hsa-miR-30c-5p	MUC17
hsa-miR-30e-5p	MUC17
hsa-miR-17-5p	TGFBR2
hsa-miR-20a-5p	TGFBR2
hsa-miR-20a-5p	TGFBR2
