miRNA	Target Gene  # filtered 'mus musculus' from http://mirtarbase.mbc.nctu.edu.tw/cache/download/6.1/miRTarBase_WE_MP.xls
mmu-miR-124-3p	Med20
mmu-miR-124-3p	Pdk1
mmu-miR-124-3p	Icam1
mmu-miR-124-3p	Dcaf7
mmu-miR-124-3p	S100a10
mmu-miR-124-3p	Gsta3
mmu-miR-124-3p	Rgma
mmu-miR-124-3p	Actc1
mmu-miR-124-3p	Fhdc1
mmu-miR-124-3p	Zfp30
mmu-miR-124-3p	Tlr2
mmu-miR-124-3p	Aatk
mmu-miR-124-3p	Spp1
mmu-miR-124-3p	Wt1
mmu-miR-124-3p	Arpc3
mmu-miR-124-3p	Cdc42ep4
mmu-miR-124-3p	Coro1a
mmu-miR-124-3p	Cd320
mmu-miR-124-3p	Cd59b
mmu-miR-124-3p	Frmd8
mmu-miR-124-3p	Dmrta2
mmu-miR-124-3p	Zfp3
mmu-miR-124-3p	Sgk1
mmu-miR-124-3p	Ppp1r15a
mmu-miR-124-3p	Fam69c
mmu-miR-124-3p	Cldn2
mmu-miR-124-3p	Arhgef10l
mmu-miR-124-3p	March9
mmu-miR-124-3p	Arv1
mmu-miR-124-3p	Sall3
mmu-miR-124-3p	Stambp
mmu-miR-124-3p	Eefsec
mmu-miR-124-3p	3110082I17Rik
mmu-miR-124-3p	Car3
mmu-miR-124-3p	Thop1
mmu-miR-124-3p	Tollip
mmu-miR-124-3p	Zbtb18
mmu-miR-124-3p	Soga1
mmu-miR-124-3p	Socs2
mmu-miR-124-3p	Fbxo36
mmu-miR-124-3p	Mmd
mmu-miR-124-3p	Abhd4
mmu-miR-124-3p	Tst
mmu-miR-124-3p	Pbx3
mmu-miR-124-3p	Tmem104
mmu-miR-124-3p	Flnb
mmu-miR-124-3p	Wtip
mmu-miR-124-3p	Dnm2
mmu-miR-124-3p	Aak1
mmu-miR-124-3p	Rhot2
mmu-miR-124-3p	Pus3
mmu-miR-124-3p	Slc44a2
mmu-miR-124-3p	Tor1b
mmu-miR-124-3p	Tns3
mmu-miR-124-3p	Map3k3
mmu-miR-124-3p	Csnk1g1
mmu-miR-124-3p	Gpr85
mmu-miR-124-3p	Acp6
mmu-miR-124-3p	Pskh1
mmu-miR-124-3p	Fadd
mmu-miR-124-3p	Gpr124
mmu-miR-124-3p	Tcf3
mmu-miR-124-3p	Xrcc6
mmu-miR-124-3p	Ptpn14
mmu-miR-124-3p	Rab34
mmu-miR-124-3p	Gmcl1
mmu-miR-124-3p	Eya3
mmu-miR-124-3p	Sft2d2
mmu-miR-124-3p	Dhfr
mmu-miR-124-3p	Gpd2
mmu-miR-124-3p	Myo10
mmu-miR-124-3p	Prox1
mmu-miR-124-3p	Ppm1f
mmu-miR-124-3p	Gga2
mmu-miR-124-3p	Rhog
mmu-miR-29a-3p	Ifnar1
mmu-miR-200a-3p	Pkd1
mmu-miR-200b-3p	Pkd1
mmu-miR-322-5p	TOB2
mmu-miR-155-5p	Inadl
mmu-miR-155-5p	Zfp652
mmu-miR-155-5p	Bach1
mmu-miR-155-5p	Hbp1
mmu-miR-155-5p	Ikbke
mmu-miR-155-5p	Jhdm1d
mmu-miR-155-5p	Sgk3
mmu-miR-155-5p	Fam105a
mmu-miR-155-5p	Arid4a
mmu-miR-155-5p	Rictor
mmu-miR-155-5p	Jarid2
mmu-miR-155-5p	Ski
mmu-miR-155-5p	Ets1
mmu-miR-155-5p	Znrf3
mmu-miR-155-5p	Tle4
mmu-miR-155-5p	Brwd1
mmu-miR-155-5p	Lcor
mmu-miR-155-5p	Sdcbp
mmu-miR-155-5p	Mier3
mmu-miR-155-5p	Mr1
mmu-miR-155-5p	Rora
mmu-miR-155-5p	Csnk1g2
mmu-miR-155-5p	Zfp236
mmu-miR-155-5p	Tab2
mmu-miR-155-5p	Mef2a
mmu-miR-155-5p	Kras
mmu-miR-155-5p	Wbp1l
mmu-miR-155-5p	Inpp5d
mmu-miR-150-5p	Cbl
mmu-miR-150-5p	Egr2
mmu-miR-133a-3p	Prdm16
mmu-miR-206-3p	Hmgb3
mmu-miR-155-5p	Hdac4
mmu-miR-351-5p	E2f3
hsa-miR-503-5p	TNFRSF11A
mmu-miR-155-5p	Nr1h3
mmu-miR-15b-5p	Dedd
mmu-miR-141-3p	Slc25a3
mmu-miR-705	Hoxa10
mmu-miR-1a-3p	Ets1
mmu-miR-302a-3p	Lats2
mmu-miR-31-5p	Rhoa
mmu-miR-10a-5p	Klf4
mmu-miR-27a-3p	Runx2
mmu-miR-27a-3p	alp
mmu-miR-27a-3p	Spp1
mmu-miR-27a-3p	Tcirg1
mmu-miR-27a-3p	Bmp2
mmu-miR-27a-3p	Bmpr1a
mmu-miR-27a-3p	Smad9
mmu-miR-138-5p	Sox2
mmu-miR-709	Sox2
mmu-miR-709	Jun
mmu-miR-138-5p	Jun
mmu-miR-138-5p	Egr2
mmu-miR-709	Egr2
mmu-miR-20a-5p	Ep300
mmu-miR-29b-3p	Tnfaip3
mmu-miR-200a-3p	St3gal3
mmu-miR-125a-5p	Traf6
mmu-miR-489-3p	Myd88
mmu-miR-27a-3p	Il10
mmu-miR-133a-3p	Kcnmb1
mmu-miR-1a-3p	Myocd
mmu-miR-29b-2-5p	Tgfb1
mmu-miR-145a-5p	Foxo1
mmu-miR-486a-5p	Pten
mmu-miR-150-5p	Myd88
mmu-miR-31-5p	Myd88
mmu-let-7e-5p	Il10
mmu-miR-210-3p	Shh
mmu-miR-146b-5p	Nfkb1
mmu-miR-335-3p	Ank3
mmu-miR-200c-3p	Nog
mmu-miR-150-5p	Ppargc1a
mmu-miR-150-5p	Prdm16
mmu-miR-15a-5p	Vegfa
mmu-miR-16-5p	Vegfa
mmu-miR-16-5p	Cd40
mmu-miR-15a-5p	Cd40
mmu-miR-15a-5p	Fgf2
mmu-miR-16-5p	Fgf2
mmu-miR-181d-5p	Runx1
mmu-miR-20b-5p	Hif1a
