source 	 target 
VD09	PVDR
PCAR	PDB
PHAR	PVQR
DD06	PVZ
PVDL	PVCR
AVHL	PVY
VBWML21	VBWML21
CP01	HOB
PCAL	DSPL
PVQR	DVF
AVL	DD05
AVAR	AVER
EF1	AVHL
PLMR	PVR
EF2	PHBR
EF2	R1BR
VBWMR16	VBWMR15
PDC	AOBR
VD13	PVQR
VB09	AVAL
SPCR	EF1
DA07	VB09
PDC	R5AL
PVPL	PVT
CP06	CA06
R8BR	PCCR
AIAL	AWAL
DBWMR10	DBWMR9
AFDR	ADFR
VD04	VD03
M2R	M3R
SPDL	PVNL
PVPL	VD10
PVY	PVNL
R8AR	SPVR
AS01	VA06
DBWMR23	DBWMR24
PVX	AVAL
AWAL	AIAL
PVNL	AVG
DD03	DB05
AVAL	R3AL
PQR	AVDR
PVPL	PVNL
AS04	DA02
DVC	AVKR
VBWMR11	VBWMR10
VB03	VB02
VBWML19	VBWML18
LUAL	HOA
SPVR	PVV
R6BL	R5AL
EF1	AVL
PM8	MC3V
VBWML20	AILR
I5	M2L
AVAR	PVCR
MC2DR	PM5D
DGLR3	VBWMR21
DVA	PVCR
VB11	AVBL
PVPR	HYP
R2BR	CP04
M2L	I2L
EF3	PVNR
CA05	CP01
VA09	AVAL
SPDL	SPVR
PVNL	AVBR
SPVR	PCCL
VB10	AVBR
DA08	AVAR
SIAVL	AVKL
RMGL	AWBL
DA06	AVAL
CEMVR	RICL
SPDR	CP02
GECR	DSPR
R2AR	R2BR
CA05	PVPR
DGLL1	VBWML20
PM6D	PM5D
ASKR	PVQR
PQR	PVWR
SPDR	SPVL
VA10	HYP
EF1	PVNL
R8AL	R2BR
PVZ	PCCL
DD06	DD05
SPVR	R8AR
ALA	RID
EF3	SPCL
BAGL	RIR
VBWML17	VBWMR20
AVJL	VD09
PM5D	M1
DBWMR19	DBWMR18
PQR	AVDL
PHBR	EF2
VA12	AVAR
AVFR	PVNR
AVKR	PVX
RMHR	SIBVR
VB09	CA06
PDA	PVPL
PHBR	EF1
VBWMR21	DGLR3
VB08	PVX
R7AR	R7BL
DD04	AVHR
EF3	AVL
AVAR	DA08
SPH	DGLL6
VBWMR20	VBWML21
PLML	AVAR
R9AR	R9BR
RIGL	RIGR
VBWMR23	AILR
AVKL	AVAR
DVB	HOB
RMEV	AVEL
EF2	CP05
DBWML19	DBWML18
R8AL	R8BL
VB07	VB09
AVAR	PVNL
R9BL	R7AR
VA09	DA05
CP01	DVF
SMBDR	SIBVR
VB11	VB10
VBWML13	VBWML14
R7BL	CP07
PVCR	VA09
M1	I2R
PM3VR	PM4VR
AVBL	RIBL
VD13	DVA
VB08	DB07
CP05	CP04
HYP	DA07
EF1	CA09
R7BL	PVV
MC1DR	PM3D
PVNR	R7BR
AVG	DVF
VBWMR12	VBWMR11
RIBR	RIBL
VBWML4	VBWML3
AVKR	CP09
CA05	SPVL
SIBVR	SMBDR
DX1	DBWMR24
PQR	AVG
EF1	R6AR
VB07	DB03
SPVR	DD05
M4	M5
AVBL	AVBL
PVCL	HYP
AVG	AVBL
VB06	AVAR
VA12	VB08
VD11	PVNL
AVBL	AS10
VB07	VD09
PCCL	HOB
R4AR	R6AR
R2AL	CP07
VBWMR21	DGLR1
VB10	DB06
VD02	DBWML9
CP09	PCBL
AVG	PVX
LUAR	SPVR
CA06	PVPR
R2BL	R8BL
PVZ	PVPL
DVA	VB11
M2L	I5
INTR	DGLR5
VBWMR23	DGLR6
SPCR	SPVL
PVY	PVX
I1R	PM3VR
RMGL	RMHL
DBWMR24	DBWML23
R7BR	R1BR
DVA	PVM
AVKL	AVKR
AWAR	AIAR
IL1VL	RMDDL
PCBL	PCBR
VD10	CA08
