source target
AVG 	 EF3         
AVG 	 CA07        
AVG 	 CP05        
AVHL 	 PHAR        
AVHL 	 AVG         
AVHL 	 AVJR        
AVHL 	 PVQR        
AVHL 	 PVV         
AVHL 	 PVY         
AVHL 	 EF1         
AVHL 	 EF3         
AVHR 	 PHAL        
AVHR 	 PHAR        
AVHR 	 PHBR        
AVHR 	 AVJL        
AVHR 	 AVJR        
AVHR 	 PVNL        
AVHR 	 AVBR        
AVHR 	 DD04        
AVHR 	 EF1         
AVHR 	 CP04        
AVJL 	 AVG         
AVJL 	 AVHR        
AVJL 	 AVJR        
AVJL 	 PVCL        
AVJL 	 DD04        
AVJL 	 VB10        
AVJL 	 VD09        
AVJL 	 PVX         
AVJL 	 EF2         
AVJL 	 EF3         
AVJL 	 CA03        
AVJL 	 CA08        
AVJL 	 CP04        
AVJL 	 CP05        
AVJR 	 AVG         
AVJR 	 AVHL        
AVJR 	 AVHR        
AVJR 	 AVJL        
AVJR 	 PVQR        
AVJR 	 DD04        
AVJR 	 VB10        
AVJR 	 VD10        
AVJR 	 hyp         
AVJR 	 PVX         
AVJR 	 EF1         
AVJR 	 EF2         
AVJR 	 EF3         
AVJR 	 CA03        
AVJR 	 CA05        
AVJR 	 CA07        
AVKL 	 PVM         
AVKL 	 AQR         
AVKL 	 PDEL        
AVKL 	 PDER        
AVKL 	 RICL        
AVKL 	 RICR        
AVKL 	 RIGL        
AVKL 	 AVKR        
AVKL 	 DVA         
AVKL 	 AVAR        
AVKL 	 SIAVL       
AVKL 	 SMBDL       
AVKL 	 DB03        
AVKL 	 VB05        
AVKL 	 VB11        
AVKL 	 hyp         
AVKL 	 R5BR        
AVKL 	 PDC         
AVKL 	 CA06        
AVKR 	 PDEL        
AVKR 	 RICL        
AVKR 	 RICR        
AVKR 	 AVKL        
AVKR 	 AVL         
AVKR 	 DVC         
AVKR 	 PVPR        
AVKR 	 PVQL        
AVKR 	 AVER        
AVKR 	 SIADR       
AVKR 	 SMBVR       
AVKR 	 VB08        
AVKR 	 hyp         
AVKR 	 HOB         
AVKR 	 PVX         
AVKR 	 CA04        
AVKR 	 CA05        
AVKR 	 CA06        
AVKR 	 CA08        
AVKR 	 CP09        
AVL 	 RIBL        
AVL 	 RIR         
AVL 	 AVG         
AVL 	 AVKR        
AVL 	 DVB         
AVL 	 DVC         
AVL 	 PDA         
AVL 	 PDB         
AVL 	 DD05        
AVL 	 DVE         
AVL 	 EF1         
AVL 	 EF2         
AVL 	 EF3         
AVL 	 CA03        
DVA 	 PVM         
DVA 	 PDEL        
DVA 	 PDER        
DVA 	 AVFL        
DVA 	 AVG         
DVA 	 AVKL        
DVA 	 PVPR        
